Ramo;Codigo;Nome;Apelido;Razao social;Situacao;Contato;E-mail do contato;Inscricao municipal;Codigo do municipio;Endereco fiscal;Numero;Complemento;Bairro fiscal;Cidade fiscal;UF fiscal;CEP fiscal;Endereco cobranca;Numero;Complemento;Bairro cobranca;Cidade cobranca;UF cobranca;CEP cobranca;Telefone (1);Telefone (2);Fax;Celular;Zona fiscal;SUFRAMA;Tipo pessoa;CNPJ/CPF;Ultima venda ;Inscr.estadual/R.G.;Cod.representante;Nome representante;2  DOC./CRM   ;UF;Endereco de entrega 1;Endereco de entrega 2;Endereco de entrega 3;Endereco de entrega 4;Endereco de entrega 5;Ultima NF emitida;Data ultima NF emitida;Limite credito;Cod.plano pagto;Plano pagto;Observacoes;Tipo;Codigo;Especialidade;Em uso?;Data de cadastro;Transportadora;Lista de precos;Portador;Carteira;Codigo de terceiro;Ultima atualizacao;Grupo de cliente;Descricao do grupo de cliente;Emite NF?
1;1;PHYSIOMED;PHYSIOMED;PHYSIOMED IMPORTACAO E COMERCIO LTDA;Liberado com limite de credito  ;PHYSIOMED;qualidade@physiomed.com.br;          ;3550308;AV.DO CAFE                         ;647;TERREO;VILA GUARANI(Z.SUL);SAO PAULO;SP;4311001;AV.DO CAFE                         ;647;TERREO;VILA GUARANI(Z.SUL);SAO PAULO;SP;4311001;;;;;Mercado interno;;C-Pessoa juridica contribuinte;'61328738000177;28/01/2025;'112497963118;1;SURGICAL;';;;;;;;31.629;31/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Revenda;   ;                              ;;21/08/2010;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;21/11/2024;35;PHYSIOMED                          ;Opcional com default NAO
1;2;SURGICAL LINE;SURGICAL LINE;SURGICAL LINE - COMERCIO DE PRODUTOS HOSPITALARES LTDA;Liberado com limite de credito  ;SURGICAL LINE;;          ;3550308;AVENIDA DIEDERICHSEN               ;1100;CONJ 81 82 83;VILA GUARANI (Z SUL);SAO PAULO;SP;4310000;AVENIDA DIEDERICHSEN               ;1100;CONJ 81 82 83;VILA GUARANI (Z SUL);SAO PAULO;SP;4310000;;;;;Mercado interno;;C-Pessoa juridica contribuinte;'07330175000106;21/12/2023;'141446608116;1;SURGICAL;';;;;;;;31.567;21/01/2025;0;   ;;;Revenda;   ;                              ;;11/10/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;06/01/2023;67;SURGICAL LINE                      ;Opcional com default SIM
1;3;NEUROMEDIC;NEUROMEDIC;NEUROMEDIC COM.DE PRODUTOS MEDICOS HOSPITALAR LTDA;Liberado com limite de credito  ;NEUROMEDIC;;          ;3522208;FELIPE CALLIEIRA                   ;114;SALA 2;JARDIM TEREZA MARIA;ITAPECERICA DA SERRA;SP;6850610;FELIPE CALLIEIRA                   ;114;SALA 2;JARDIM TEREZA MARIA;ITAPECERICA DA SERRA;SP;6850610;;;;;Mercado interno;;C-Pessoa juridica contribuinte;'24537048000100;27/06/2024;'370222751114;1;SURGICAL;';;;;;;;31.635;31/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Revenda;   ;                              ;;11/10/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;08/11/2024;28;NEUROMEDIC                         ;Opcional com default SIM
1;4;QUALITY MT;QUALITY MT;QUALITY COMERCIAL DE PRODUTOS MEDICOS HOSPITALARES;Liberado com limite de credito  ;TANNAA ANDRADE;compras1@qualitymedical.com.br;          ;5103403;AV. ERICO GONCALVES PREZA FILHO,   ;470;;JD ITALLIA;CUIABA;MT;78060755;AV. ERICO GONCALVES PREZA FILHO,   ;470;;JD ITALLIA;CUIABA;MT;78060755;65 3023-2100;;;;Mercado interno;;C-Pessoa juridica contribuinte;'07062586000168;17/12/2024;'132778670;34;PEDRO;';;;;;;;31.445;17/12/2024;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;21/11/2024;39;QUALITY                            ;Opcional com default SIM
1;5;PMEDICAL;PMEDICAL;PMEDICAL PRODUTOS HOSPITALARES EIRELI;Liberado com limite de credito  ;ADM;comercial@pmedical.med.br, paulo@pmedical.med.br;          ;3538709;INDEPENDENCIA                      ;1840;SALA 401;CIDADE ALTA;PIRACICABA;SP;13419155;INDEPENDENCIA                      ;1840;SALA 401;CIDADE ALTA;PIRACICABA;SP;13419155;19 3426-5169;;;;Mercado interno;;C-Pessoa juridica contribuinte;'36446119000130;27/01/2025;'535787758110;1;SURGICAL;';;;;;;;1.010;27/01/2025;0;   ;;AFE COM TRANSPORTE - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;03/02/2025;36;PMEDICAL                           ;Opcional com default SIM
1;6;SURGICAL TEC;SURGICAL TEC;SURGICAL TEC COMERCIO DE PRODUTOS HOSPITALARES LTD;Liberado com limite de credito  ;FINANCEIRO;thaisa.santos@surgicaltec.com, faturamento@surgicaltec.com,;          ;5103403;RUA VER. EMANUEL RIBEIRO DAUBIAN   ;256;SL 106;QUILOMBO;CUIABA;MT;78045037;RUA VER. EMANUEL RIBEIRO DAUBIAN   ;256;SL 106;QUILOMBO;CUIABA;MT;78045037;65 33599853;;;;Mercado interno;;C-Pessoa juridica contribuinte;'30085522000102;29/01/2025;'137187378;1;SURGICAL;';;;;;;;31.612;29/01/2025;0;   ;;AFE SEM TRANSPORTE - DECLARAÇÃO                 REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;27/01/2025;45;SURGICAL TEC                       ;Opcional com default SIM
1;7;HIROSE IND.COM. DE CONTAINERS PARA;HIROSE IND.COM. DE CONTAINERS PARA;HIROSE IND.COM. DE CONTAINERS PARA ESTERILIZACAO LTDA;Venda proibida                  ;ANDREIA BRAUN; financeiro@jomhedica.com.br, andreia.braun@jomhedica.com.br;          ;3505906;RUA EVARISTAO CESTARI              ;490;;SANTO ANTONIO;BATATAIS;SP;14315090;RUA EVARISTAO CESTARI              ;490;;SANTO ANTONIO;BATATAIS;SP;14315090;51 21080900;;;;Mercado interno;;C-Pessoa juridica contribuinte;'01859796000103;          ;'208034411110;1;SURGICAL;';;;;;;;       ;          ;0;   ;;DISTRIBUIDOR Ñ QUALIFICADO;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;10/07/2023;;;Opcional com default SIM
1;8;IRON CASE;IRON CASE;IRON CASE INDUSTRIA E COMERCIO LTDA EPP;Liberado com limite de credito  ;ANDREIA BRAUN / ANGELICA;;          ;3550308;RUA AURIVERDE                      ;643;TERREO;VILA INDEPENDENCIA;SAO PAULO;SP;4222001;RUA AURIVERDE                      ;643;TERREO;VILA INDEPENDENCIA;SAO PAULO;SP;4222001;;;;;Mercado interno;;C-Pessoa juridica contribuinte;'03504635000114;          ;'115352576110;1;SURGICAL;';;;;;;;       ;          ;0;   ;;;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;11/01/2024;;;Opcional com default SIM
1;9;ALPHA SURGICAL;ALPHA SURGICAL;RHINUS MEDICAL COMERCIO DE MATERIAL HOSPITALAR LTD;Liberado com limite de credito  ;RAFAEL SANTOS;compras@alphasurgical.com.br;          ;3301702;CONDE DE PORTO ALEGRE              ;477;SALA 304;JARDIM VINTE E CINCO;DUQUE DE CAXIAS;RJ;25070350;CONDE DE PORTO ALEGRE              ;477;SALA 304;JARDIM VINTE E CINCO;DUQUE DE CAXIAS;RJ;25070350;21 2784-0750;;;;Mercado interno;;C-Pessoa juridica contribuinte;'10983985000176;30/01/2025;'78809000;34;PEDRO;';;;;;;;31.623;30/01/2025;0;   ;;AFE SEM TRANSPORTE - DECLARAÇÃO - REV05;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;12/12/2024;3;GRUPO ALPHA                        ;Opcional com default SIM
1;10;ARTROIMPLAN;ARTROIMPLAN;ARTROIMPLAN IMPORTACAO E COMERCIO LTDA;Venda proibida                  ;FABIO;fabio@artroimplan.com.br;          ;3548807;MANOEL COELHO                      ;676;SALA 218;CENTRO;SAO CAETANO DO SUL;SP;9510101;MANOEL COELHO                      ;676;SALA 218;CENTRO;SAO CAETANO DO SUL;SP;9510101;11 2759-1351;;;;Mercado interno;;C-Pessoa juridica contribuinte;'21296508000159;          ;'636220060110;1;SURGICAL;';;;;;;;       ;          ;0;   ;;;Distribuidor;   ;                              ;;11/11/2022;   1-TRANSPORTE DO CLIENTE         ;;;;                    ;19/12/2024;;;Opcional com default SIM
