Codigo produto;;Descricao do produto;Estoque total interno (disponivel+reserva);Estoque reserva;Estoque disponivel;Estoque minimo;Valor do custo medio unitario;Valor da ultima compra;Valor da ultima compra em moeda;Saidas (demanda) mes anterior 1;Saidas (demanda) mes anterior 2;Saidas (demanda) mes anterior 3;Saidas (demanda) mes anterior 4;Tipo da moeda;Tipo do produto;Servico correspondente;Estoque nao conforme;Indicador de calculo do estoque minimo;Marca do produto;Tipo do conjunto;Topico;Indicador de inventario;CST de ICMS;Aliquota ICMS interna;Codigo do convenio;Categoria do convenio;Quantidade maxima para cobranca;Numero registro MS/ANVISA;Data validade do registro MS/ANVISA;Codigo da etiqueta MS/ANVISA;NCM;Indicador de controle de lote;Estoque externo;Estoque total;Controle de validade;Produto esteril;Tipo calculo estoque minimo;Quantidade de dias estoque minimo;Fornecedor preferencial;Codigo de referencia;Unidade compra/Quantidade embalagem;Codigo interno do produto;Situacao do produto;Data da ultima saida;Tipo de remessa do produto;Aliquota de IPI para compra;Aliquota de IPI para venda;Mensagem para tributacao de ICMS;Data da ultima compra;Estoque deposito externo;Valor de reposicao;Codigo para tributacao de ICMS;Codigo para tributacao de IPI;Localizacao no estoque;Estoque Segregado;Descricao comercial;Observacoes internas;Tipo;Grupo do produto;Percentual de PIS para saida;Percentual de COFINS para saida;Data de cadastro;Funcionario responsavel pelo cadastro;CEST-Codigo especificador Substituicao Tributaria;Tipo da data de validade do lote;Data do primeiro movimento de estoque;Data do ultimo movimento de estoque;Codigo TUSS;Classificacao de risco MS/ANVISA;Unidade de venda;Descricao completa - portugues;Descricao completa - importacao/exportacao;Saldo em Conjunto Interno;Saldo em Conjunto Externo;Peso Bruto;Peso Liquido;GTIN-13 do fabricante;EX TIPI;Produto exige registro ANVISA?;Estoque em quarentena;Fator conversao unid.comercial p/unid.tributavel;Codigo identitificador;Perfil para determinacao tributos federais;Quantidade de anos de validade
'0.1011;0;CASE P/ C2 XPLORE;4;1;3;0;1.608,83;1.930,00;1.930,00;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;QUALITTY CASES;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4415.10.00;Controle total lote;3;7;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'0.1011;UN /      1;24;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;26/06/2023;0;1.930,00;NACIONAL TRIB.;ISENTO;;0;CASE PARA C2 XPLORE;;753-MONITORIZACAO;002-INNOLCON;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;09/01/2024;;;UN;CASE PARA C2 XPLORE;;0;0;0;0;;;Nao;0;1;;;0
'0.3006;0;CASE P/ C2 INOMED;2;0;2;0;1.546,78;0;0;0;0;0;0;01 - DOLAR;Normal;;1;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;7;9;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'0.3006;UN /      1;23;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CASE PARA C2 INOMED;;753-MONITORIZACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;08/01/2024;;;UN;CASE PARA C2 INOMED;;0;0;0;0;;;Nao;0;1;;;0
'0.3007;0;CASE PARA OSIRIS DIGITAL;3;1;2;0;1.106,50;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;0;3;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;';UN /      1;296;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CASE PARA OSIRIS DIGITAL INOMED;;751-CRIOTERAPIA;001-C3;1,65;7,6;04/01/2023;998-VIMAN;;;04/01/2023;08/01/2024;;;UN;CASE PARA OSIRIS DIGITAL INOMED;;0;0;0;0;;;Nao;0;1;;;0
'0.3166;0;CASE P/ RFP-300 MEDICAL (POMP);4;0;4;0;1.282,67;421,75;421,75;0;0;0;0;01 - DOLAR;Normal;;1;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;9;13;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'0.3166;UN /      1;166;Ativo em catalogo;28/04/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;25/04/2023;0;500;NACIONAL TRIB.;ISENTO;;2;CASE PARA RFP-300 MEDICAL (POMP);;757-ABLACAO;002-RADIOFREQUENCIA;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;09/01/2024;;;UN;CASE PARA RFP-300 MEDICAL (POMP);;0;0;0;0;;;Nao;0;1;;;0
'0.3167;0;CASE P/ RADIOFREQUENCIA V-1000;1;0;1;0;630,68;421,75;421,75;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;1;2;NAO;NAO;Calculo Manual;60;02/    12-FABRICASE EMBA;'0.3167;UN /      1;131;Ativo em catalogo;28/04/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;25/04/2023;0;500;NACIONAL TRIB.;ISENTO;;0;CASE PARA RADIOFREQUENCIA V-1000 5;;757-ABLACAO;002-RADIOFREQUENCIA;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;13/12/2023;;;UN;CASE PARA RADIOFREQUENCIA V-1000 5;;0;0;0;0;;;Nao;0;1;;;0
'0.3168;0;CASE PLASTICO M5 C/ESPUMA;2;0;2;0;693;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;0;2;NAO;NAO;Calculo Manual;;02/    12-FABRICASE EMBA;'0.3168;UN /      1;43;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CASE PLASTICO M5 COM ESPUMA RECORTADA (NEUROESTIMULADOR);;753-MONITORIZACAO;003-ISI IOM XPRESS;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;30/11/2023;;;UN;CASE PLASTICO M5 COM ESPUMA RECORTADA (NEUROESTIMULADOR);;0;0;0;0;;;Nao;0;1;;;0
'0.3175;0;CASE P/ M-3004;1;0;1;0;1.452,67;421,75;421,75;0;0;0;0;01 - DOLAR;Normal;;1;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;7;8;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'0.3175;UN /      1;33;Ativo em catalogo;28/04/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;25/04/2023;0;500;NACIONAL TRIB.;ISENTO;;1;CASE PARA   M-3004;;757-ABLACAO;002-RADIOFREQUENCIA;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;19/12/2023;;;UN;CASE PARA   M-3004;;0;0;0;0;;;Nao;0;1;;;0
'0.4029;0;CASE P/ ZD;2;0;2;0;1.471,82;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;0;2;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'0.4029;UN /      1;185;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CASE PARA ZD;;754-NEUROCIRURGIA;005-ZD;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;23/05/2023;;;UN;CASE PARA ZD;;0;0;0;0;;;Nao;0;1;;;0
'000.269;0;CASE PARTE INTERNA V-1000;2;0;2;0;1.417,00;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;QUALITTY CASES;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;1;3;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'000.269;UN /      1;35;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CASE PARTE INTERNA V-1000;;757-ABLACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;09/01/2024;;;UN;CASE PARTE INTERNA V-1000;;0;0;0;0;;;Nao;0;1;;;0
'000.886;0;CASE P/ US Z5 MINDRAY;1;0;1;0;1.900,00;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;FABRICASE EMBALAGENS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;4202.19.00;Controle total lote;0;1;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;'000.886;UN /      1;34;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CASE PARA US Z5 MINDRAY;;757-ABLACAO;001-C2;1,65;7,6;22/12/2022;998-VIMAN;;;04/01/2023;01/12/2023;;;UN;CASE PARA US Z5 MINDRAY;;0;0;0;0;;;Nao;0;1;;;0
'008 207;0;KEYPANEL MEMBRANE C2 FRONT;0;0;0;0;0;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;INOMED;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;;;1;9033.00.00;Nao tem controle;0;0;NAO;NAO;Calculo automatico;60;02/     4-RBTG;'008 207;UN /      1;411;Ativo em catalogo;;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL ISENTO;ISENTO;;0;KEYPANEL MEMBRANE C2 FRONT                                   KEYPANEL MEMBRANE C2 FRONT;TELA DO C2 PARA MANUTENCAO;753-MONITORIZACAO;001-C2;1,65;7,6;16/02/2023;10-LAIS M.;;;00/00/00;00/00/00;;;UN;;;0;0;0;0;;;Nao;0;1;;;0
'0101260;0;CONTAINER HR004 ARCO ESTEREOT.;0;0;0;0;628,03;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;ARRIOL INTL COR;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'040;0;;;SEM limite;;;1;9018.90.99;Controle total lote;4;4;NAO;NAO;Calculo Manual;60;02/    13-HIROSE IND.COM;'0101260;UN /      1;201;Ativo em catalogo;04/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL ISENTO;ISENTO;;0;CONTAINER HR004 ARCO ESTEREOTAXICO;;754-NEUROCIRURGIA;005-ZD;0;0;22/12/2022;998-VIMAN;;;04/01/2023;13/01/2023;;;UN;CONTAINER HR004 ARCO ESTEREOTAXICO;;2;0;0;0;;;Nao;0;1;;;0
'03.5011.011;0;CX P/ INST. DIVERSOS;0;0;0;0;350;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;TECH TOOLS;Nao e conjunto;75-EQUIPAMENTO;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;;;1;7310.21.90;Controle total lote;2;2;NAO;NAO;Calculo Manual;60;02/     2-SURGICAL LINE;';UN /      1;394;Ativo em catalogo;23/01/2023;2-INSTRUM./EQUIPAM(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;CAIXA PARA INTRUMENTAIS DIVERSOS CAIXA PARA CHAVE;;755-NEUROFUNCIONAL;001-MICROREGISTRO;1,65;7,6;13/01/2023;998-VIMAN;;;13/01/2023;09/05/2023;;;UN;CAIXA PARA INTRUMENTAIS DIVERSOS CAIXA PARA CHAVE;;0;0;0;0;;;Nao;0;1;;;0
'1180;0;GERADOR PULSO IMPLANTAVEL;2;1;1;0;37.406,46;45.748,80;45.748,80;0;0;0;0;01 - DOLAR;Normal;;2;S-Lista;SCENERAY CORPORATION;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;80410900057;18/05/2030;1;9021.90.19;Controle total lote;0;2;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;;02/     6-SCENERAY CORPO;'1180;UN /      1;113;Ativo em catalogo;28/07/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;27/07/2023;0;47.655,00;NACIONAL TRIB.;ISENTO;;0;6 GERADOR DE PULSO IMPLANTAVEL PARA ESTIMULACAO CEREB;;551-NEUROFUNCIONAL;001-DBS;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/01/2024;;IV-Maximo risco;UN;6 GERADOR DE PULSO IMPLANTAVEL PARA ESTIMULACAO CEREB;;0;0;0;0;;;Sim;0;1;;;3
'1200-40;0;SIST. ELET. EXTENSOES P/ESTIMU;4;0;4;0;4.071,82;5.190,90;5.190,90;0;0;0;7;01 - DOLAR;Normal;;1;S-Lista;SCENERAY CORPORATION;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;80410900059;01/06/2030;1;9021.90.19;Controle total lote;0;4;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;60;02/     6-SCENERAY CORPO;'1200-40;UN /      1;128;Ativo em catalogo;18/09/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;14/09/2023;0;6.500,00;NACIONAL TRIB.;ISENTO;;0;6 SISTEMA DE ELETRODOS E EXTENSOES PARA ESTIMULACAO C;;551-NEUROFUNCIONAL;001-DBS;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/01/2024;;IV-Maximo risco;UN;6 SISTEMA DE ELETRODOS E EXTENSOES PARA ESTIMULACAO C;;0;0;0;0;;;Sim;0;1;;;3
'1210-40;0;SIST. ELET. EXTENSOES P/ESTIMU;2;0;2;0;4.313,57;0;0;0;0;0;0;01 - DOLAR;Normal;;0;S-Lista;SCENERAY CORPORATION;Nao e conjunto;55-NEUROFUNCIONAL;Fisico=SIM - Fiscal=SIM;'000;18;;;SEM limite;80410900059;01/06/2030;1;9021.90.19;Controle total lote;0;2;SIM Qt.anos= 3 DD/MM/AA;SIM;Calculo Manual;60;02/     6-SCENERAY CORPO;'1210-40;UN /      1;129;Ativo em catalogo;22/06/2023;1-IMPLANT./DESCART(REVENDA);0;0;0;;0;0;NACIONAL TRIB.;ISENTO;;0;6 SISTEMA DE ELETRODOS E EXTENSOES PARA ESTIMULACAO C;;551-NEUROFUNCIONAL;001-DBS;1,65;7,6;22/12/2022;998-VIMAN;;Dia/mes/ano (DD/MM/AA);04/01/2023;02/12/2023;;IV-Maximo risco;UN;6 SISTEMA DE ELETRODOS E EXTENSOES PARA ESTIMULACAO C;;0;0;0;0;;;Sim;0;1;;;3
